HM1: Division,Comment
Community Care Division,I currently work at City Centre district nursing.  I love my role and I an happy working in this area.  Th only thing that puts me off working in the area is the parking fines.  I would consider leaving this team should we not get any support regards to parking tickets.  When visiting a patient in the city centre I am constantly rushing as I am worried about where I have parked which is not good for the patient.
Community Care Division,"I do feel valued and appreciated by my colleagues within my team however, we are not supported by operational and clinical leads at all.  The service is in crisis and we have been made to feel it is our fault.  The team as a whole feel deflated and defeated.  Some members have gone to freedom to speak.  RCN are also investigating and supporting the team going forward.  We are being managed by people who have no clue on what is going on on the ground.  And for those that do know the role they are dismissing our concerns and have an answer for everything.  Like politicians.  To run a DN service effectively and safely you need to know the role of the DN."
Community Care Division,"I do my job, because I love to do it and I enjoy making a difference in people's life.  But the way that the health has been approached is fragmented and inefficient.  I would recommend to offer different opportunities to the patients, where in one place all the needs are sorted while the patient is visiting.  Also, trusts' education programs should promote holistic perspective to diagnose and treat, and when possible to provide with more physical contact and appreciation than given self-care responsibilities, to people that are living lives with isolation and minimal common sense..  Currently, the opportunities to see and talk with a person to receive help, are very limited and humans need humans to find the way throw their difficulties."
Community Care Division,"I don't feel the organisation listen to our team as a whole.  I feel they hear what they want to hear and don't resolve issues.  For example, since COVID we have been moved base 4 or maybe 5 times.  Number of desks gets smaller each time.  We are now in an office that is out of area to our patients so travel time to base we could have had clinical contact instead with patients.  As a band 5 I feel I would benefit from an office base that everyone feels they can travel to within work hours so that I have support to ask questions rather than over the phone.  Physio is a hands on job and I need hands on guidance not remote.  Also, I feel the office issue has affected our teams health and wellbeing.  We work remotely within community and it is difficult to set boundaries and we often work over our hours and through are lunch breaks.  The team are absolutely amazing and I feel we are not appreciated with the way we are treated, recently another change to our desk space without any consultation.  I feel our operational lead has a difficult job and is not very present because they are too busy with higher management issues.  All this leads to is poor staff retention and lack of job satisfaction and team with low morale and people will end up burning out."
Community Care Division,"I don't know how these surveys reach useful conclusions.  NHS needs to address ''most senior person knows best'' culture.  Insightful decisions are not made by people who have made themselves well informed about services.  People do not understand or value the roles of others.  Different teams could work much better together; hostility towards other teams is common.  Surveys ask about the manager immediately above, but the impact upon wellbeing and effectiveness in role is often influenced by other managers."
Community Care Division,I don't like the pay step in the bandings.  It infers that we haven't learnt a thing in a year and our experience not valued.  We should have our increments yearly for all grades.
Community Care Division,I don't think we get the support from management they just talk down to us never support there staff.  We need new computers in the team to do our job as staff waiting round for staff to come of computers.  Home visits there is no support we keep telling management that there is areas that we need parking permit and they don't listen so then some staff have had parking fine due to parking at pts house.  We have a clinic in Liverpool rope walk and due to parking staff get in to work an hour early to get a parking bay.
Community Care Division,"I enjoy all aspects of my work apart from unnecessary paperwork which sometimes is felt like it is done for the sake of doing it.  The incident reporting system and processes are simplified and streamlined, it would make clinician's job much more efficient and result in effective service delivery."
Community Care Division,"I enjoy my job role as a health care assistant within[location removed].  My team leader is extremely supportive, encouraging approachable.  I feel my role [details removed] is rewarding fulfilling and you realise end of life matters."
Community Care Division,I enjoy working for Mersey Care.
Community Care Division,I enjoy working for the trust and feel they offer plenty of opportunity to improve yourself and progress.
Community Care Division,"I enjoy working with my current team, we all have a respectful strong relationship and support each other.  I also feel very supported by my team leader with regular catch up.  I do not feel supported by higher management, My self and my team lead feel we have no autonomy or say with regards to our own team.  Regularly feel disregarded and ignored by higher management who have no interest in our or our staffs mental health wellbeing.  Higher management have ""regular meetings"" which feel nothing more than just a tick box exercise with little or no difference seen.  8-8 where brought in without considering staff needs, again this felt like a tick box exercise, the reasons for the 8-8 has not helped and instead stretched services, no continuity in patient care and services are now short which has a knock on effect within the teams as we are constantly helping and picking up other calls for teams.  I left a team where I wanted to remain due to the constant stress I was under.  I started a new post which felt critically unsafe daily with no support from senior leadership with hurtful comments made.  I was currently having MSK issues which required surgery to fix this, and I think if my operation date didn't come when it did I probably would have ended up off sick with anxiety and stress."
Community Care Division,"I enjoy working within my team, I feel appreciated most of the time and have no concerns with the direct team.  At times senior management make changes that seem impractical and will not listen to the concerns of the staff, at least initially."
Community Care Division,"I feel admin should be tiered and paid according to the level you are on.  Not all admin do the same work or carry the same responsibilities, yet we are all paid a Band 3 salary.  Our admin team, for example, could be a Band 3 but at a higher tier salary than another admin team because of the nature of our work.  I feel we are underpaid for the responsibilities we carry."
Community Care Division,"I feel admin staff are treated differently than clinical staff in the NHS, for example flexible working and working from home!  Clinicians nursery nurses school nurses can all work from home, but admin in my team are not allowed and the explanation being other members of staff have been abusing it?  The times I have been allowed to work from home all my work gets done, so why not tackle the problem with the individuals who are abusing it?  I feel that's a big problem in the NHS and I have worked here for over [timeframe removed]."
Community Care Division,"I feel appreciated by the clinical team that I work for, but feel that generally administration is undervalued and is often overlooked as a service group in the NHS."
Community Care Division,I feel as if we are not valued an respected the moral with staff members is low our team leaders and Band 5 are approachable it is the management on a higher level.
Community Care Division,"I feel as though there is a strong team identity in my Trust.  However, often, it becomes challenging where the NHS is attempting to collaborate with other organisations - e.g.  The city council."
Community Care Division,I feel communication within the service could be improved to reduce anxieties and a clear plan as to where the service is going.
Community Care Division,I feel completely undervalued and over stretched at work.  We have managers who are more concerned about kpi's than staff welfare.
Community Care Division,"I feel extremely let down by my SLT, after a period of sickness I returned to work and my role had changed.  Not one of my SLT kept me updated during my sick leave or upon my return that my job role had changed.  I have been criticised by my line manager and offered little support since my return.  I feel undervalued/ignored/demotivated and hurt since my return.  Supervision is a tick box exercise with little value other than to support the organisations target and manager that 'issues' are documented with no follow up or resolution."
Community Care Division,I feel fully supported within my team.
Community Care Division,"I feel like a valued member of my team.  I feel confident that I could raise any concerns with them and they would be managed accordingly.  My team is friendly and approachable and I would 100% recommend the team.  As a team, we have high standards and go above and beyond for our clients."
Community Care Division,"I feel like immediate members of staff in my team (e.g. team leaders and other clinicians) are doing everything we can to support one another.  The work load is getting heavier with more procedures/admin tasks to be done (radars/reporting), chasing things up with other organisations and patients becoming more complex.  We cannot recruit anyone, this is having an affect on us all.  Moods are low and people are fed up at times."
